[19-Jun-2023 09:52:51] | 500 | 505.9µs | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 09:54:45] | 500 |      0s | 127.0.0.1 | GET | /api/products/5 | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 09:55:47] | 500 | 507.2µs | 127.0.0.1 | GET | /api/products/5 | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 09:57:04] | 500 | 1.0321ms | 127.0.0.1 | GET | /api/products/5 | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 09:57:05] | 500 | 617.6µs | 127.0.0.1 | GET | /api/products/5 | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 09:57:07] | 500 | 211.1µs | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 09:57:41] | 500 | 507.4µs | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 09:57:42] | 500 | 1.0013ms | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 09:57:43] | 500 |  71.2µs | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 10:09:45] | 500 | 525.4µs | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 10:09:47] | 500 | 563.5µs | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 10:10:33] | 500 | 1.0463ms | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 10:10:34] | 500 | 151.6µs | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 10:34:44] | 500 | 1.0545ms | 127.0.0.1 | GET | /api/products | invalid field found for struct inventory-management/backend/internal/model.ProductQuality's field Product: define a valid foreign key for relations or implement the Valuer/Scanner interface
[19-Jun-2023 10:43:26] | 200 | 136.3355ms | 127.0.0.1 | GET | /api/products | -
[19-Jun-2023 10:43:28] | 200 | 108.2077ms | 127.0.0.1 | GET | /api/products | -
[19-Jun-2023 10:43:31] | 404 | 118.9726ms | 127.0.0.1 | GET | /api/products/5 | record not found
[19-Jun-2023 10:44:06] | 201 | 125.721ms | 127.0.0.1 | POST | /api/products | -
[19-Jun-2023 10:44:23] | 200 | 102.186ms | 127.0.0.1 | GET | /api/products | -
[19-Jun-2023 10:44:26] | 404 | 12.9524ms | 127.0.0.1 | GET | /api/products/5 | record not found
[19-Jun-2023 10:44:34] | 200 | 109.3147ms | 127.0.0.1 | GET | /api/products/1 | -
